order_id,order_date,region,country,customer_segment,product_category,product_name,quantity,unit_price,sales,discount,profit
ORD200030,2021-01-03,South,Australia,Consumer,Electronics,Laptop,9,1386.64,12479.76,0.03,3331.03
ORD210024,2021-01-03,South,USA,Consumer,Office Supplies,Printer,1,1479.97,1479.97,0.03,117.34
ORD211838,2021-01-03,North,UK,Corporate,Office Supplies,Laptop,8,667.79,5342.32,0.05,630.79
ORD204144,2021-01-03,South,Germany,Consumer,Electronics,Mouse,4,693.56,2774.24,0.15,237.57
ORD207057,2021-01-03,East,Germany,Consumer,Furniture,Monitor,2,418.56,837.12,0.05,130.68
ORD200376,2021-01-03,South,Australia,Home Office,Furniture,Monitor,2,1853.57,3707.14,0.3,-182.18
ORD213229,2021-01-03,Central,India,Home Office,Furniture,Chair,1,1599.85,1599.85,0.28,-166.04
ORD205296,2021-01-03,North,USA,Home Office,Office Supplies,Mouse,5,612.19,3060.95,0.02,402.45
ORD205160,2021-01-03,Central,Germany,Consumer,Furniture,Monitor,4,127.74,510.96,0.01,69.94
ORD212054,2021-01-04,Central,Australia,Home Office,Furniture,Laptop,6,1407.92,8447.52,0.23,-1133.84
ORD207427,2021-01-04,West,UK,Corporate,Electronics,Mouse,9,1684.95,15164.55,0.25,-2478.63
ORD208227,2021-01-04,South,UK,Corporate,Office Supplies,Printer,8,964.76,7718.08,0.1,743.13
ORD207124,2021-01-04,North,UK,Home Office,Electronics,Printer,10,1065.85,10658.5,0.02,2330.43
ORD206120,2021-01-04,West,Germany,Home Office,Furniture,Desk,5,1464.96,7324.8,0.1,476.64
ORD200636,2021-01-04,East,USA,Home Office,Furniture,Mouse,8,1211.2,9689.6,0.14,333.23
ORD203751,2021-01-04,West,Australia,Consumer,Electronics,Mouse,10,868.33,8683.3,0.09,886.49
ORD201872,2021-01-04,East,Germany,Home Office,Office Supplies,Laptop,10,218.3,2183.0,0.26,-414.43
ORD207059,2021-01-05,Central,USA,Consumer,Office Supplies,Monitor,9,1881.29,16931.61,0.04,2130.67
ORD201783,2021-01-05,West,Germany,Consumer,Office Supplies,Keyboard,8,1700.47,13603.76,0.29,-1102.43
ORD203787,2021-01-05,West,Australia,Consumer,Electronics,Mouse,5,1255.45,6277.25,0.25,-768.15
ORD213869,2021-01-05,West,USA,Home Office,Electronics,Monitor,5,1577.44,7887.2,0.14,-182.4
ORD213766,2021-01-05,East,Australia,Corporate,Furniture,Mouse,7,348.54,2439.78,0.09,56.31
ORD201721,2021-01-05,West,USA,Home Office,Furniture,Laptop,8,974.08,7792.64,0.27,-235.77
ORD204539,2021-01-05,Central,Australia,Home Office,Office Supplies,Desk,5,1112.06,5560.3,0.13,9.37
ORD209988,2021-01-05,East,India,Corporate,Furniture,Chair,2,450.42,900.84,0.08,91.27
ORD204680,2021-01-05,West,USA,Home Office,Electronics,Chair,2,424.34,848.68,0.27,-142.24
ORD213474,2021-01-05,East,Australia,Home Office,Electronics,Monitor,3,911.44,2734.32,0.24,-77.78
ORD204754,2021-01-06,Central,USA,Home Office,Furniture,Mobile,8,1592.82,12742.56,0.13,-88.06
ORD214928,2021-01-06,South,Australia,Corporate,Electronics,Mouse,4,223.34,893.36,0.25,-52.48
ORD206638,2021-01-06,West,Germany,Consumer,Office Supplies,Desk,3,1186.15,3558.45,0.25,-374.91
ORD207594,2021-01-06,North,UK,Home Office,Electronics,Printer,1,145.51,145.51,0.22,-15.12
ORD205572,2021-01-06,North,USA,Home Office,Furniture,Printer,5,837.83,4189.15,0.17,-124.23
ORD213143,2021-01-06,Central,India,Corporate,Furniture,Laptop,6,824.64,4947.84,0.14,-12.48
ORD209984,2021-01-06,East,India,Consumer,Office Supplies,Printer,1,796.41,796.41,0.29,-36.36
ORD208978,2021-01-06,South,UK,Home Office,Electronics,Keyboard,9,1504.2,13537.8,0.17,-1146.16
ORD206231,2021-01-06,West,Australia,Consumer,Office Supplies,Desk,3,1028.11,3084.33,0.18,139.59
ORD203570,2021-01-06,Central,Australia,Home Office,Furniture,Desk,9,856.85,7711.65,0.2,127.0
ORD210483,2021-01-06,South,Australia,Home Office,Office Supplies,Mouse,2,784.77,1569.54,0.05,351.68
ORD200476,2021-01-06,South,India,Consumer,Electronics,Mobile,10,814.36,8143.6,0.15,1213.25
ORD207634,2021-01-07,East,India,Consumer,Office Supplies,Printer,9,711.8,6406.2,0.08,590.23
ORD200456,2021-01-07,North,USA,Home Office,Office Supplies,Laptop,6,1860.96,11165.76,0.02,1403.61
ORD209220,2021-01-07,East,UK,Consumer,Office Supplies,Monitor,1,1179.45,1179.45,0.16,74.17
ORD201899,2021-01-07,North,India,Consumer,Electronics,Chair,9,1304.55,11740.95,0.14,-15.39
ORD201298,2021-01-07,East,USA,Corporate,Office Supplies,Keyboard,2,632.0,1264.0,0.09,-26.58
ORD212827,2021-01-07,Central,USA,Home Office,Electronics,Monitor,8,1715.75,13726.0,0.26,-990.14
ORD210036,2021-01-08,East,Germany,Consumer,Office Supplies,Laptop,6,140.43,842.58,0.06,20.28
ORD200592,2021-01-08,South,USA,Corporate,Office Supplies,Printer,2,1961.3,3922.6,0.14,75.26
ORD213225,2021-01-08,West,USA,Consumer,Furniture,Keyboard,5,999.32,4996.6,0.07,826.39
ORD214954,2021-01-08,South,Australia,Home Office,Electronics,Monitor,6,865.85,5195.1,0.05,667.93
ORD211646,2021-01-08,East,Germany,Corporate,Furniture,Printer,7,734.31,5140.17,0.12,-134.11
ORD203832,2021-01-08,Central,Germany,Home Office,Furniture,Keyboard,8,242.08,1936.64,0.18,-65.41
ORD214986,2021-01-08,East,India,Home Office,Electronics,Keyboard,10,1613.21,16132.1,0.09,1216.68
ORD201957,2021-01-08,Central,Australia,Home Office,Office Supplies,Desk,3,1799.95,5399.85,0.03,965.57
ORD200492,2021-01-08,East,USA,Corporate,Furniture,Keyboard,6,772.91,4637.46,0.28,-1019.4
ORD201560,2021-01-09,West,USA,Home Office,Office Supplies,Mouse,10,354.59,3545.9,0.14,237.19
ORD214400,2021-01-09,North,India,Home Office,Electronics,Desk,1,1901.3,1901.3,0.1,294.79
ORD210613,2021-01-09,West,USA,Corporate,Furniture,Chair,5,767.86,3839.3,0.06,138.73
ORD204521,2021-01-09,Central,USA,Corporate,Furniture,Chair,7,402.71,2818.97,0.09,441.66
ORD213788,2021-01-09,North,UK,Corporate,Electronics,Monitor,6,1571.06,9426.36,0.17,-1117.36
ORD204318,2021-01-09,East,Australia,Home Office,Office Supplies,Monitor,2,1487.96,2975.92,0.06,574.45
ORD204769,2021-01-09,West,India,Consumer,Office Supplies,Monitor,5,1505.12,7525.6,0.01,643.06
ORD212728,2021-01-10,North,USA,Corporate,Furniture,Chair,6,311.29,1867.74,0.15,-38.84
ORD201564,2021-01-10,Central,India,Home Office,Furniture,Monitor,3,170.51,511.53,0.25,-3.42
ORD204357,2021-01-10,East,USA,Home Office,Electronics,Mobile,1,512.93,512.93,0.16,-1.87
ORD209780,2021-01-10,South,UK,Home Office,Office Supplies,Mobile,1,1497.33,1497.33,0.11,215.81
ORD210305,2021-01-10,Central,India,Home Office,Electronics,Laptop,5,1999.53,9997.65,0.09,1391.35
ORD213935,2021-01-10,South,USA,Corporate,Electronics,Keyboard,4,460.73,1842.92,0.07,231.19
ORD209659,2021-01-10,South,UK,Home Office,Furniture,Chair,1,499.92,499.92,0.08,8.29
ORD209345,2021-01-10,West,India,Home Office,Office Supplies,Chair,1,1257.68,1257.68,0.01,323.86
ORD213277,2021-01-10,West,India,Home Office,Office Supplies,Laptop,4,61.68,246.72,0.11,14.24
ORD212509,2021-01-10,North,USA,Consumer,Office Supplies,Monitor,3,172.68,518.04,0.23,-67.7
ORD212237,2021-01-10,South,Australia,Home Office,Electronics,Mouse,6,1097.19,6583.14,0.01,694.48
ORD204724,2021-01-10,West,Germany,Corporate,Electronics,Mobile,10,1750.73,17507.3,0.23,-1702.26
ORD209834,2021-01-11,North,USA,Consumer,Office Supplies,Mouse,2,223.28,446.56,0.25,-13.8
ORD213784,2021-01-11,Central,Germany,Consumer,Electronics,Printer,2,749.11,1498.22,0.27,-104.2
ORD210396,2021-01-11,South,India,Corporate,Office Supplies,Mobile,3,524.99,1574.97,0.16,125.84
ORD207554,2021-01-11,North,Australia,Home Office,Furniture,Mouse,6,1313.21,7879.26,0.17,-587.01
ORD210989,2021-01-11,East,India,Consumer,Office Supplies,Monitor,7,213.7,1495.9,0.24,59.5
ORD212034,2021-01-11,North,UK,Consumer,Furniture,Keyboard,4,1676.8,6707.2,0.11,674.47
ORD207870,2021-01-11,Central,UK,Home Office,Electronics,Keyboard,9,1661.65,14954.85,0.19,891.11
ORD210298,2021-01-11,South,Australia,Corporate,Electronics,Mobile,9,605.31,5447.79,0.18,-675.86
ORD214622,2021-01-11,East,USA,Corporate,Furniture,Printer,9,1945.13,17506.17,0.06,2123.08
ORD210821,2021-01-11,North,Germany,Home Office,Furniture,Chair,5,300.49,1502.45,0.07,295.48
ORD211825,2021-01-11,East,Australia,Corporate,Electronics,Laptop,6,60.2,361.2,0.26,-23.94
ORD214377,2021-01-11,North,USA,Corporate,Electronics,Laptop,8,1652.01,13216.08,0.05,2281.68
ORD205236,2021-01-11,West,India,Home Office,Office Supplies,Chair,6,64.68,388.08,0.02,57.8
ORD200177,2021-01-12,North,USA,Corporate,Office Supplies,Keyboard,7,1342.31,9396.17,0.0,2722.08
ORD206365,2021-01-12,West,Germany,Consumer,Office Supplies,Laptop,2,62.94,125.88,0.13,6.97
ORD214784,2021-01-12,Central,USA,Corporate,Furniture,Laptop,9,1922.3,17300.7,0.27,-2887.45
ORD200302,2021-01-12,North,Australia,Home Office,Furniture,Keyboard,6,1720.21,10321.26,0.17,-989.23
ORD213376,2021-01-12,North,India,Corporate,Office Supplies,Mouse,3,1943.23,5829.69,0.23,-351.68
ORD201483,2021-01-12,Central,India,Corporate,Furniture,Desk,9,1382.99,12446.91,0.21,145.47
ORD211911,2021-01-12,East,USA,Consumer,Office Supplies,Keyboard,10,729.61,7296.1,0.02,1486.13
ORD206852,2021-01-12,East,India,Home Office,Electronics,Keyboard,5,346.51,1732.55,0.01,125.44
ORD213421,2021-01-13,North,Australia,Corporate,Electronics,Chair,6,510.53,3063.18,0.07,-4.31
ORD207304,2021-01-13,South,UK,Consumer,Office Supplies,Keyboard,2,169.72,339.44,0.13,46.66
ORD214717,2021-01-13,East,USA,Corporate,Electronics,Keyboard,4,1891.37,7565.48,0.17,-214.33
ORD209426,2021-01-13,East,Germany,Consumer,Furniture,Monitor,3,1681.01,5043.03,0.22,210.18
ORD212788,2021-01-13,East,India,Consumer,Electronics,Monitor,1,1033.62,1033.62,0.25,-179.63
ORD212869,2021-01-13,Central,Germany,Consumer,Office Supplies,Printer,8,966.77,7734.16,0.01,1907.94
ORD203127,2021-01-13,West,India,Home Office,Office Supplies,Mobile,3,485.6,1456.8,0.26,15.86
ORD209473,2021-01-13,Central,UK,Home Office,Electronics,Chair,4,1054.76,4219.04,0.15,362.39
ORD211852,2021-01-13,Central,Australia,Consumer,Furniture,Desk,6,1198.34,7190.04,0.12,-117.58
ORD204020,2021-01-13,East,Germany,Consumer,Electronics,Printer,9,1616.84,14551.56,0.21,544.85
ORD214671,2021-01-13,West,Germany,Consumer,Electronics,Keyboard,3,361.79,1085.37,0.0,307.89
ORD213546,2021-01-13,North,UK,Consumer,Furniture,Printer,5,1177.14,5885.7,0.26,-936.9
ORD210690,2021-01-13,North,India,Corporate,Furniture,Mobile,2,518.91,1037.82,0.01,226.79
ORD208687,2021-01-13,South,Australia,Consumer,Electronics,Chair,6,1500.07,9000.42,0.21,-406.98
ORD213079,2021-01-13,North,Australia,Consumer,Furniture,Monitor,2,1417.43,2834.86,0.1,-96.61
ORD214101,2021-01-13,North,India,Home Office,Office Supplies,Chair,6,583.21,3499.26,0.22,-223.57
ORD209738,2021-01-13,South,USA,Corporate,Electronics,Chair,8,1054.43,8435.44,0.26,-412.5
ORD212796,2021-01-13,Central,Germany,Consumer,Furniture,Mobile,2,1456.61,2913.22,0.23,-267.05
ORD207664,2021-01-14,Central,Australia,Home Office,Furniture,Desk,8,1668.37,13346.96,0.21,-230.61
ORD200061,2021-01-14,East,USA,Home Office,Office Supplies,Laptop,8,1891.82,15134.56,0.14,-887.58
ORD208206,2021-01-14,North,UK,Home Office,Office Supplies,Mobile,2,282.1,564.2,0.07,3.56
ORD207162,2021-01-14,East,India,Home Office,Furniture,Keyboard,1,1244.93,1244.93,0.21,-88.27
ORD214964,2021-01-14,Central,USA,Corporate,Electronics,Printer,4,493.03,1972.12,0.12,341.89
ORD210999,2021-01-14,Central,UK,Corporate,Electronics,Desk,8,1859.62,14876.96,0.05,97.21
ORD209122,2021-01-14,East,UK,Consumer,Office Supplies,Desk,8,1822.04,14576.32,0.08,2620.2
ORD200815,2021-01-14,West,UK,Corporate,Office Supplies,Printer,8,1876.42,15011.36,0.2,-1036.0
ORD212138,2021-01-14,South,UK,Home Office,Office Supplies,Printer,1,171.54,171.54,0.21,-1.91
ORD212024,2021-01-15,Central,USA,Corporate,Office Supplies,Printer,1,854.01,854.01,0.03,117.96
ORD214299,2021-01-15,West,Germany,Home Office,Furniture,Mouse,3,1786.15,5358.45,0.26,-446.64
ORD214303,2021-01-15,Central,USA,Home Office,Electronics,Mobile,2,223.89,447.78,0.09,85.52
ORD214267,2021-01-15,East,UK,Consumer,Electronics,Desk,6,1046.27,6277.62,0.07,-118.59
ORD210179,2021-01-15,South,UK,Consumer,Electronics,Mouse,4,567.98,2271.92,0.24,-339.86
ORD213862,2021-01-15,East,Australia,Home Office,Electronics,Keyboard,10,856.14,8561.4,0.22,-367.47
ORD204585,2021-01-15,East,Germany,Consumer,Office Supplies,Desk,9,1010.3,9092.7,0.18,293.77
ORD205671,2021-01-15,East,USA,Consumer,Electronics,Mobile,10,1836.34,18363.4,0.22,-1730.67
ORD210807,2021-01-15,Central,Germany,Consumer,Office Supplies,Monitor,7,217.76,1524.32,0.22,17.11
ORD208208,2021-01-15,South,USA,Home Office,Office Supplies,Laptop,9,206.82,1861.38,0.23,-298.73
ORD200433,2021-01-15,Central,UK,Consumer,Furniture,Laptop,4,607.13,2428.52,0.28,-7.05
ORD212315,2021-01-15,West,India,Consumer,Office Supplies,Desk,9,1969.69,17727.21,0.17,1950.34
ORD213049,2021-01-16,West,UK,Home Office,Furniture,Keyboard,8,561.6,4492.8,0.28,-1031.63
ORD210320,2021-01-16,West,India,Corporate,Office Supplies,Mobile,10,318.16,3181.6,0.23,-546.13
ORD205600,2021-01-16,Central,India,Corporate,Furniture,Mouse,3,1831.97,5495.91,0.02,905.71
ORD214433,2021-01-16,Central,Germany,Corporate,Electronics,Mouse,4,745.28,2981.12,0.13,-175.36
ORD213413,2021-01-16,Central,Australia,Consumer,Electronics,Desk,7,1494.66,10462.62,0.22,269.49
ORD207332,2021-01-16,Central,Germany,Consumer,Electronics,Mouse,10,1374.46,13744.6,0.13,1602.95
ORD211174,2021-01-16,North,Germany,Home Office,Furniture,Keyboard,9,234.44,2109.96,0.08,166.85
ORD202588,2021-01-16,East,Australia,Home Office,Electronics,Chair,2,886.28,1772.56,0.08,311.99
ORD200528,2021-01-16,Central,Australia,Corporate,Office Supplies,Printer,10,1046.01,10460.1,0.21,-205.59
ORD209498,2021-01-16,Central,India,Corporate,Electronics,Chair,1,655.09,655.09,0.11,-6.84
ORD214357,2021-01-16,South,USA,Home Office,Furniture,Laptop,4,1231.65,4926.6,0.12,72.14
ORD214391,2021-01-16,West,India,Corporate,Office Supplies,Desk,2,1923.52,3847.04,0.01,875.45
ORD206238,2021-01-17,Central,India,Home Office,Furniture,Keyboard,8,344.9,2759.2,0.21,217.44
ORD208396,2021-01-17,East,Germany,Home Office,Electronics,Keyboard,1,894.84,894.84,0.05,102.63
ORD211746,2021-01-17,East,USA,Corporate,Furniture,Mobile,3,1832.17,5496.51,0.26,-683.97
ORD207814,2021-01-17,Central,Australia,Corporate,Electronics,Mouse,9,359.45,3235.05,0.17,-208.7
ORD207278,2021-01-17,East,India,Corporate,Furniture,Printer,3,1609.02,4827.06,0.04,192.03
ORD206263,2021-01-18,West,India,Corporate,Electronics,Mouse,5,1520.17,7600.85,0.09,44.32
ORD200389,2021-01-18,North,Australia,Home Office,Furniture,Mobile,8,1976.77,15814.16,0.03,2013.56
ORD200052,2021-01-18,Central,UK,Corporate,Furniture,Desk,10,1830.99,18309.9,0.17,-1236.38
ORD213987,2021-01-18,Central,Germany,Home Office,Electronics,Monitor,9,325.72,2931.48,0.03,249.6
ORD213876,2021-01-18,East,USA,Home Office,Electronics,Keyboard,5,180.07,900.35,0.27,-146.61
ORD207701,2021-01-18,Central,Germany,Home Office,Electronics,Mouse,8,970.94,7767.52,0.18,72.18
ORD203788,2021-01-18,Central,India,Corporate,Electronics,Mouse,4,405.95,1623.8,0.05,186.05
ORD211542,2021-01-18,South,USA,Corporate,Furniture,Keyboard,10,1446.43,14464.3,0.12,2491.86
ORD214194,2021-01-18,East,UK,Corporate,Office Supplies,Desk,2,1675.59,3351.18,0.21,156.62
ORD200679,2021-01-19,East,USA,Home Office,Furniture,Laptop,5,354.96,1774.8,0.06,236.01
ORD200392,2021-01-19,East,India,Consumer,Electronics,Monitor,4,425.51,1702.04,0.13,-122.52
ORD201467,2021-01-19,East,USA,Home Office,Office Supplies,Printer,2,744.89,1489.78,0.09,161.11
ORD202638,2021-01-19,East,Australia,Home Office,Furniture,Chair,3,1948.99,5846.97,0.17,-458.69
ORD204141,2021-01-19,South,UK,Corporate,Electronics,Printer,2,1876.51,3753.02,0.11,-24.13
ORD212497,2021-01-19,South,India,Consumer,Electronics,Chair,5,249.21,1246.05,0.29,-250.46
ORD209837,2021-01-19,West,UK,Home Office,Electronics,Keyboard,1,1596.08,1596.08,0.03,93.89
ORD213578,2021-01-19,Central,USA,Home Office,Office Supplies,Monitor,6,1548.84,9293.04,0.03,621.24
ORD202260,2021-01-20,North,Australia,Consumer,Furniture,Printer,4,682.06,2728.24,0.02,185.95
ORD206624,2021-01-20,North,Australia,Consumer,Electronics,Mouse,8,1213.91,9711.28,0.24,-1220.99
ORD210216,2021-01-20,Central,UK,Consumer,Office Supplies,Monitor,3,1489.03,4467.09,0.23,256.81
ORD208302,2021-01-20,East,Australia,Consumer,Office Supplies,Monitor,5,1336.15,6680.75,0.07,948.58
ORD212198,2021-01-20,West,USA,Corporate,Office Supplies,Monitor,2,1221.37,2442.74,0.05,528.43
ORD205240,2021-01-20,East,Australia,Corporate,Office Supplies,Monitor,7,1872.46,13107.22,0.01,3788.68
ORD212888,2021-01-20,North,USA,Consumer,Office Supplies,Monitor,9,1771.86,15946.74,0.09,2600.86
ORD201870,2021-01-20,Central,USA,Home Office,Office Supplies,Printer,3,598.5,1795.5,0.15,233.19
ORD211020,2021-01-20,South,Australia,Corporate,Electronics,Printer,10,578.38,5783.8,0.26,-991.5
ORD207058,2021-01-20,Central,UK,Home Office,Office Supplies,Monitor,5,213.09,1065.45,0.11,-58.29
ORD203817,2021-01-20,West,UK,Home Office,Office Supplies,Desk,5,1752.94,8764.7,0.19,517.2
ORD202621,2021-01-20,South,India,Home Office,Office Supplies,Mobile,6,1724.37,10346.22,0.28,-2214.02
ORD206553,2021-01-20,North,Germany,Consumer,Electronics,Printer,2,1628.59,3257.18,0.07,90.64
ORD208807,2021-01-20,East,Australia,Consumer,Electronics,Mobile,1,502.62,502.62,0.17,36.84
ORD212099,2021-01-20,East,Germany,Home Office,Office Supplies,Chair,2,1882.66,3765.32,0.04,554.58
ORD207349,2021-01-20,West,UK,Consumer,Electronics,Desk,3,1619.71,4859.13,0.06,1162.79
ORD205285,2021-01-21,South,Australia,Home Office,Office Supplies,Printer,5,1801.19,9005.95,0.3,-100.9
ORD205575,2021-01-21,North,USA,Consumer,Electronics,Desk,6,1478.03,8868.18,0.23,-331.02
ORD208972,2021-01-21,South,UK,Corporate,Furniture,Mobile,1,1133.12,1133.12,0.08,206.41
ORD208140,2021-01-21,East,UK,Corporate,Office Supplies,Monitor,9,888.13,7993.17,0.26,-797.13
ORD200408,2021-01-21,West,Australia,Consumer,Electronics,Laptop,2,556.83,1113.66,0.24,-154.29
ORD214158,2021-01-21,East,India,Consumer,Electronics,Laptop,4,380.32,1521.28,0.24,54.68
ORD204604,2021-01-21,South,USA,Home Office,Furniture,Printer,8,1574.33,12594.64,0.19,608.25
ORD212145,2021-01-21,Central,India,Corporate,Office Supplies,Desk,6,160.74,964.44,0.28,-5.92
ORD210609,2021-01-21,North,USA,Corporate,Electronics,Laptop,5,85.74,428.7,0.29,-66.35
ORD200588,2021-01-21,West,Germany,Corporate,Electronics,Desk,7,764.99,5354.93,0.01,537.25
ORD200352,2021-01-22,Central,Australia,Corporate,Electronics,Monitor,5,1243.06,6215.3,0.21,-324.86
ORD200697,2021-01-22,South,USA,Home Office,Office Supplies,Mouse,9,350.86,3157.74,0.07,707.61
ORD208976,2021-01-22,South,India,Home Office,Office Supplies,Keyboard,10,1115.73,11157.3,0.24,-1488.21
ORD213266,2021-01-22,West,Germany,Home Office,Office Supplies,Mouse,9,1843.89,16595.01,0.13,-1087.97
ORD210685,2021-01-22,North,UK,Consumer,Electronics,Laptop,4,1886.63,7546.52,0.07,-19.08
ORD206152,2021-01-22,East,UK,Home Office,Office Supplies,Chair,10,857.46,8574.6,0.0,1435.49
ORD209089,2021-01-22,South,UK,Consumer,Furniture,Printer,9,750.37,6753.33,0.22,299.05
ORD210760,2021-01-22,Central,Australia,Home Office,Furniture,Keyboard,5,1787.84,8939.2,0.27,-601.49
ORD209915,2021-01-22,East,Australia,Consumer,Electronics,Mouse,2,1289.1,2578.2,0.09,186.26
ORD210245,2021-01-22,South,India,Consumer,Office Supplies,Mobile,8,401.16,3209.28,0.02,167.35
ORD207503,2021-01-23,South,Germany,Home Office,Electronics,Monitor,6,1438.08,8628.48,0.27,-852.95
ORD201434,2021-01-23,West,USA,Consumer,Furniture,Mouse,1,1557.99,1557.99,0.28,-279.63
ORD209227,2021-01-23,Central,UK,Consumer,Office Supplies,Mouse,4,1797.76,7191.04,0.22,531.2
ORD211959,2021-01-23,Central,UK,Consumer,Furniture,Mobile,8,1022.53,8180.24,0.02,496.77
ORD203716,2021-01-23,North,USA,Home Office,Office Supplies,Mouse,4,501.46,2005.84,0.14,133.0
ORD206824,2021-01-23,South,Germany,Home Office,Furniture,Mouse,2,1605.22,3210.44,0.04,436.02
ORD206560,2021-01-24,Central,Germany,Corporate,Office Supplies,Printer,1,656.03,656.03,0.03,26.55
ORD208292,2021-01-24,South,Australia,Home Office,Furniture,Mobile,6,1863.46,11180.76,0.07,170.65
ORD214442,2021-01-24,North,UK,Corporate,Electronics,Desk,1,555.04,555.04,0.28,-4.81
ORD202886,2021-01-24,West,UK,Corporate,Electronics,Monitor,6,170.52,1023.12,0.12,105.61
ORD210867,2021-01-24,North,UK,Home Office,Electronics,Monitor,5,1416.81,7084.05,0.19,-365.92
ORD205035,2021-01-24,South,India,Home Office,Furniture,Printer,1,1570.39,1570.39,0.04,47.39
ORD214984,2021-01-24,North,USA,Home Office,Furniture,Mobile,4,1371.46,5485.84,0.27,94.7
ORD204946,2021-01-24,South,India,Consumer,Office Supplies,Mobile,6,1648.61,9891.66,0.27,206.72
ORD210980,2021-01-24,Central,Germany,Consumer,Office Supplies,Keyboard,3,106.61,319.83,0.07,55.4
ORD204614,2021-01-24,East,UK,Consumer,Furniture,Mouse,2,908.63,1817.26,0.01,93.52
ORD211641,2021-01-25,South,USA,Home Office,Furniture,Mouse,9,1621.21,14590.89,0.04,3250.58
ORD213094,2021-01-25,West,Australia,Consumer,Office Supplies,Mouse,4,527.49,2109.96,0.12,228.61
ORD202284,2021-01-25,Central,UK,Corporate,Furniture,Mouse,2,596.12,1192.24,0.1,232.01
ORD211156,2021-01-25,North,Germany,Corporate,Office Supplies,Mouse,1,1087.89,1087.89,0.24,42.18
ORD201227,2021-01-25,East,Australia,Consumer,Electronics,Laptop,1,1796.38,1796.38,0.23,-157.36
ORD209716,2021-01-25,West,Australia,Home Office,Furniture,Laptop,4,1782.63,7130.52,0.04,1332.68
ORD211686,2021-01-25,East,India,Corporate,Furniture,Mobile,2,1379.51,2759.02,0.29,-492.72
ORD213833,2021-01-25,South,India,Corporate,Office Supplies,Chair,6,1459.26,8755.56,0.25,-904.7
ORD204828,2021-01-26,East,India,Consumer,Electronics,Printer,5,1487.21,7436.05,0.07,724.32
ORD201102,2021-01-26,West,Australia,Corporate,Electronics,Keyboard,10,401.92,4019.2,0.13,-209.44
ORD209142,2021-01-26,Central,Australia,Corporate,Furniture,Desk,6,76.19,457.14,0.16,-42.65
ORD207956,2021-01-26,Central,Germany,Corporate,Office Supplies,Mouse,7,1660.88,11626.16,0.01,2855.35
ORD211021,2021-01-26,North,India,Consumer,Furniture,Printer,4,943.34,3773.36,0.14,-102.58
ORD201107,2021-01-26,Central,USA,Consumer,Furniture,Mouse,2,682.9,1365.8,0.0,340.42
ORD211218,2021-01-26,Central,USA,Consumer,Furniture,Laptop,5,1574.78,7873.9,0.01,561.85
ORD207369,2021-01-26,South,Germany,Consumer,Electronics,Desk,9,741.99,6677.91,0.09,1372.72
ORD205304,2021-01-26,North,UK,Corporate,Office Supplies,Laptop,4,836.1,3344.4,0.05,528.25
ORD212857,2021-01-26,Central,Germany,Consumer,Office Supplies,Monitor,1,1007.09,1007.09,0.2,-112.85
